uri:/instrument/1.0/AAPL/chartdata;type=quote;range=10d/csv
ticker:aapl
Company-Name:Apple Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:113.4000
range:20150910,1441891800,1441915200
range:20150911,1441978200,1442001600
range:20150914,1442237400,1442260800
range:20150915,1442323800,1442347200
range:20150916,1442410200,1442433600
range:20150917,1442496600,1442520000
range:20150918,1442583000,1442606400
range:20150921,1442842200,1442865600
range:20150922,1442928600,1442952000
range:20150923,1443015000,1443038400
Timestamp:1441891800,1443038400
labels:1441891800,1441978200,1442237400,1442323800,1442410200,1442496600,1442583000,1442842200,1442928600,1443015000
values:Timestamp,close,high,low,open,volume
close:110.2200,116.4700
high:110.7000,116.8900
low:109.9000,116.4100
open:110.0700,116.5800
volume:0,16754000
1442336941,115.9100,115.9800,115.8700,115.9700,215500
1442337242,115.9200,115.9700,115.8500,115.9199,305500
1442337542,115.9840,116.0800,115.9150,115.9200,415100
1442337843,115.9750,116.0700,115.9500,115.9900,270600
1442338142,116.0500,116.1500,115.9500,115.9786,396200
1442338440,116.0600,116.1900,116.0300,116.0550,393700
1442338740,116.1000,116.1200,116.0100,116.0400,239400
1442339099,116.2450,116.3200,116.0650,116.0900,576700
1442339399,116.1950,116.3600,116.1700,116.2400,455800
1442339640,115.9700,116.2000,115.9700,116.1970,508800
1442339940,116.1000,116.1100,115.8700,115.9700,522100
1442340240,116.0300,116.1099,115.9100,116.1000,292100
1442340599,116.0600,116.0900,115.9000,116.0300,384300
1442340840,116.1400,116.3000,116.0400,116.0501,481000
1442341199,116.0800,116.2100,116.0800,116.1300,296700
1442341440,116.0500,116.0981,115.9500,116.0910,411100
1442341743,116.0900,116.1500,116.0100,116.0418,283200
1442342041,116.2250,116.2350,116.0400,116.0800,328300
1442342340,116.2300,116.2900,116.1575,116.2200,328900
1442342641,116.1900,116.3400,116.1812,116.2250,294300
1442342940,116.3700,116.4400,116.1550,116.1900,568500
1442343240,116.2710,116.4300,116.2050,116.3736,355400
1442343542,116.3700,116.4400,116.2501,116.2800,466900
1442343840,116.3310,116.4700,116.2900,116.3600,432600
1442344140,116.4200,116.5000,116.3390,116.3400,741900
1442344499,116.4300,116.5200,116.3450,116.4200,670900
1442344740,116.3300,116.4900,116.3000,116.4300,380200
1442345040,116.3400,116.3750,116.2700,116.3300,416100
1442345399,116.4350,116.5300,116.2950,116.3490,597600
1442345640,116.4300,116.4700,116.3200,116.4300,456600
1442345940,116.3100,116.4400,116.2800,116.4250,510200
1442346299,116.3450,116.3800,116.2600,116.3110,595600
1442346599,116.1900,116.3600,116.0700,116.3550,1497500
1442346840,116.1450,116.2900,116.1400,116.2300,737900
1442347199,116.2700,116.3700,116.1450,116.1470,1181500
1442347200,116.2800,116.2800,116.2800,116.2800,100
1442410440,115.7900,116.3400,115.7700,116.2500,0
1442410799,115.7197,116.0550,115.6200,115.7900,1375400
1442411040,115.6600,115.8200,115.4400,115.7099,1157400
1442411340,115.6500,115.7200,115.5800,115.6700,604800
1442411640,115.8500,115.9600,115.6500,115.6500,964300
1442411999,115.8270,115.9400,115.7600,115.8400,502900
1442412240,115.7901,115.8800,115.6200,115.8100,532000
1442412599,116.0811,116.1300,115.7900,115.7900,848000
1442412898,116.0143,116.2000,115.9600,116.0811,686900
1442413140,116.1570,116.1900,115.9900,116.0160,561700
1442413499,115.9760,116.2500,115.9500,116.2000,662700
1442413740,116.1400,116.1900,115.8800,115.9700,550100
1442414098,116.1774,116.2900,116.1000,116.1300,437300
1442414340,116.0800,116.2000,116.0300,116.1700,420500
1442414641,116.0600,116.1700,115.9500,116.0800,378400
1442414940,116.0500,116.2200,115.9700,116.0500,471300
1442415240,115.8800,116.0400,115.8600,116.0400,343200
1442415599,115.8700,115.9900,115.8400,115.8769,370100
1442415842,115.7800,115.9000,115.7310,115.8700,444200
1442416140,116.0600,116.0800,115.7701,115.7800,469400
1442416440,116.1300,116.2100,116.0400,116.0700,509900
1442416741,116.1100,116.2500,116.0500,116.1200,477100
1442417099,116.3001,116.4000,116.0300,116.1200,739900
1442417340,116.4700,116.5400,116.3000,116.3001,645700
1442417640,116.4000,116.5000,116.3200,116.4711,289800
1442417940,116.2700,116.4150,116.2300,116.3900,284400
1442418240,116.1830,116.2700,116.1600,116.2664,302000
1442418596,116.1700,116.2074,116.1000,116.1850,280300
1442418841,116.2598,116.2600,116.1239,116.1799,231600
1442419199,116.3050,116.3350,116.2400,116.2600,320200
1442419440,116.2250,116.3800,116.2001,116.3099,378500
1442419740,116.1512,116.2420,116.1159,116.2300,297900
1442420041,116.1632,116.1900,116.1100,116.1570,198000
1442420340,116.2700,116.3000,116.1700,116.1760,241500
1442420698,116.2300,116.3000,116.2100,116.2800,203100
1442420942,116.2800,116.2900,116.2200,116.2400,167100
1442421240,116.2493,116.3300,116.1500,116.2800,368300
1442421540,116.2800,116.2800,116.1540,116.2400,236500
1442421840,116.2350,116.3100,116.2000,116.2900,247100
1442422140,116.2500,116.2701,116.2000,116.2400,166000
1442422440,116.1700,116.2900,116.1700,116.2400,244300
1442422799,116.2100,116.2500,116.1700,116.1700,173100
1442423099,116.0950,116.2100,116.0100,116.2000,400100
1442423341,116.1600,116.1820,116.0800,116.1000,223900
1442423640,116.1489,116.2000,116.1100,116.1593,271700
1442423944,115.9903,116.1700,115.9700,116.1499,285400
1442424299,116.0300,116.0400,115.9000,116.0000,278300
1442424540,115.8800,116.0357,115.8200,116.0300,319300
1442424899,115.9700,115.9900,115.8440,115.8700,231700
1442425142,115.9370,116.0450,115.9201,115.9800,186200
1442425444,116.0047,116.0300,115.9350,115.9350,156100
1442425740,115.9700,116.0600,115.9700,116.0087,182600
1442426099,115.9900,116.1000,115.9650,115.9650,243100
1442426340,116.0390,116.0800,115.9800,115.9900,234500
1442426640,116.0900,116.1100,115.9340,116.0400,194200
1442426998,116.0960,116.1200,116.0200,116.0890,182600
1442427298,116.0200,116.1280,115.9700,116.1000,210900
1442427543,115.9500,116.0100,115.8800,116.0100,308900
1442427899,115.8780,115.9873,115.7900,115.9600,350300
1442428140,115.9100,115.9200,115.7800,115.8700,271300
1442428499,115.9100,115.9300,115.8149,115.9100,226300
1442428799,115.8700,115.9500,115.8500,115.9100,312500
1442429040,115.8900,115.9000,115.8200,115.8700,364400
1442429340,115.9400,115.9800,115.8800,115.8946,269300
1442429640,115.7700,115.9500,115.7500,115.9300,322100
1442429999,115.9900,116.0700,115.7050,115.7700,732800
1442430241,116.0400,116.1300,115.9800,116.0000,383700
1442430540,115.9800,116.0800,115.9700,116.0400,506800
1442430899,116.0501,116.1300,115.9850,115.9890,515100
1442431141,116.1000,116.1200,116.0100,116.0600,347700
1442431440,116.2000,116.2200,116.0400,116.1100,601700
1442431799,116.2300,116.2400,116.1500,116.1990,489900
1442432041,116.2160,116.2900,116.1700,116.2390,657200
1442432399,116.2900,116.3000,116.1100,116.2101,572500
1442432699,116.3200,116.4400,116.2500,116.3000,887500
1442432940,116.3100,116.3800,116.2099,116.3200,709200
1442433299,116.3800,116.4750,116.2900,116.3400,838100
1442433540,116.4200,116.4600,116.2900,116.3900,3332900
1442433600,116.4100,116.4100,116.4100,116.4100,0
1442496895,115.5900,115.8000,115.5400,115.7350,0
1442497140,115.4700,115.6400,115.4300,115.5718,1096800
1442497499,115.4300,115.5100,115.1700,115.4800,1272100
1442497799,115.5150,115.5500,115.2900,115.4350,761200
1442498041,115.4150,115.6400,115.3800,115.5000,705000
1442498399,115.3200,115.5780,115.3100,115.4200,595500
